,mlb_name,pitch_type,quality,ball_pct,strike_pct,foul_pct,in_play_pct,pitch_count,avg_qual,pitch_name
112405,Keyvius Sampson,CH,0.39888888888888885,0.3333333333333333,0.5,0.0,0.16666666666666666,18.0,0.12765397399004674,Changeup
112504,Jordan Lyles,FF,0.1815637065637071,0.305019305019305,0.2857142857142857,0.23552123552123552,0.17374517374517376,518.0,0.1603646846323446,Four-seam Fastball
112506,Jordan Lyles,FT,0.1356892230576438,0.3634085213032581,0.2781954887218045,0.18045112781954886,0.17794486215538846,399.0,0.09296613721316117,Two-seam Fastball
112517,Jordan Lyles,SL,0.09233449477351867,0.3693379790940767,0.2578397212543554,0.15331010452961671,0.21951219512195122,287.0,0.20810453817692648,Slider
112521,Jordan Lyles,CU,0.0722499999999997,0.4527777777777778,0.24722222222222223,0.11666666666666667,0.18333333333333332,360.0,0.17778582610313318,Curveball
112541,Jordan Lyles,CH,0.057483870967742,0.41935483870967744,0.22580645161290322,0.13548387096774195,0.21935483870967742,155.0,0.12765397399004674,Changeup
114223,Silvino Bracho,FF,0.24571428571428575,0.3344947735191638,0.3205574912891986,0.21254355400696864,0.13240418118466898,287.0,0.1603646846323446,Four-seam Fastball
114230,Silvino Bracho,SL,0.08662921348314614,0.42696629213483145,0.21348314606741572,0.21348314606741572,0.14606741573033707,89.0,0.20810453817692648,Slider
114231,Silvino Bracho,CH,0.21931249999999972,0.3375,0.3125,0.18125,0.16875,160.0,0.12765397399004674,Changeup
114764,Scott Oberg,FF,0.16893442622950972,0.3344262295081967,0.2786885245901639,0.2081967213114754,0.17868852459016393,610.0,0.1603646846323446,Four-seam Fastball
114766,Scott Oberg,SL,0.1923076923076926,0.3626373626373626,0.3142857142857143,0.13626373626373625,0.18681318681318682,455.0,0.20810453817692648,Slider
114775,Scott Oberg,CH,-0.015338983050847422,0.423728813559322,0.19491525423728814,0.1271186440677966,0.2542372881355932,118.0,0.12765397399004674,Changeup
114821,Scott Oberg,FT,0.09450704225352118,0.3873239436619718,0.22535211267605634,0.21830985915492956,0.16901408450704225,142.0,0.09296613721316117,Two-seam Fastball
116093,Miguel Castro,FF,-0.050317460317460296,0.49206349206349204,0.15873015873015872,0.12698412698412698,0.2222222222222222,63.0,0.1603646846323446,Four-seam Fastball
116095,Miguel Castro,SL,0.24401662049861633,0.42382271468144045,0.3988919667590028,0.0664819944598338,0.11080332409972299,361.0,0.20810453817692648,Slider
116113,Miguel Castro,CH,0.21934131736526935,0.3592814371257485,0.32335329341317365,0.1497005988023952,0.16766467065868262,167.0,0.12765397399004674,Changeup
116144,Miguel Castro,SI,0.027585751978891754,0.36015831134564646,0.20448548812664907,0.19261213720316622,0.24274406332453827,758.0,0.11394481591195386,Sinker
117442,Sam Moll,FF,0.1490243902439023,0.34959349593495936,0.2845528455284553,0.1951219512195122,0.17073170731707318,123.0,0.1603646846323446,Four-seam Fastball
117444,Sam Moll,SL,0.14626865671641798,0.5373134328358209,0.26865671641791045,0.1044776119402985,0.08955223880597014,67.0,0.20810453817692648,Slider
117527,Sam Moll,CH,-0.046666666666666634,0.5,0.25,0.08333333333333333,0.16666666666666666,12.0,0.12765397399004674,Changeup
117648,Justin Verlander,FF,0.2287204874333531,0.3153084539223153,0.2932216298552932,0.2520944402132521,0.13937547600913938,2626.0,0.1603646846323446,Four-seam Fastball
117650,Justin Verlander,CU,0.13980712166172218,0.4169139465875371,0.31008902077151335,0.11869436201780416,0.1543026706231454,674.0,0.17778582610313318,Curveball
